epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,176.783,0.76093,0.83092,0.01283,0.62293,0.66367,0.78607,0.57811,1.73204,1.33905,0.01345,2.75753e-05,2.75753e-05,2.75753e-05
67,179.585,0.88544,0.72117,0.00821,0.62293,0.66367,0.78607,0.57811,1.73204,1.33905,0.01345,2.7222e-05,2.7222e-05,2.7222e-05
68,182.276,1.13404,1.47305,0.01324,0.62293,0.66367,0.78607,0.57811,1.73204,1.33905,0.01345,2.68451e-05,2.68451e-05,2.68451e-05
69,185.1,0.91355,0.97812,0.01263,0.59339,0.6646,0.78605,0.56758,1.74931,1.38411,0.01381,2.64447e-05,2.64447e-05,2.64447e-05
70,187.874,1.30253,1.98481,0.02069,0.59339,0.6646,0.78605,0.56758,1.74931,1.38411,0.01381,2.60207e-05,2.60207e-05,2.60207e-05
71,190.679,0.80955,0.93969,0.0077,0.59339,0.6646,0.78605,0.56758,1.74931,1.38411,0.01381,2.55731e-05,2.55731e-05,2.55731e-05
72,193.912,0.98748,0.82936,0.00892,0.62804,0.68178,0.78565,0.56742,1.72721,1.35905,0.01359,2.5102e-05,2.5102e-05,2.5102e-05
73,196.72,0.77764,1.18589,0.0101,0.62804,0.68178,0.78565,0.56742,1.72721,1.35905,0.01359,2.46073e-05,2.46073e-05,2.46073e-05
74,199.538,0.93356,1.18887,0.01092,0.62804,0.68178,0.78565,0.56742,1.72721,1.35905,0.01359,2.40891e-05,2.40891e-05,2.40891e-05
75,202.475,1.18988,1.48624,0.02017,0.90918,0.47769,0.78407,0.56698,1.78326,1.31583,0.0144,2.35472e-05,2.35472e-05,2.35472e-05
76,205.037,0.95529,0.87933,0.01129,0.90918,0.47769,0.78407,0.56698,1.78326,1.31583,0.0144,2.29819e-05,2.29819e-05,2.29819e-05
77,207.78,1.02165,0.98892,0.01084,0.90918,0.47769,0.78407,0.56698,1.78326,1.31583,0.0144,2.23929e-05,2.23929e-05,2.23929e-05
78,210.484,1.19204,1.52472,0.01533,0.76161,0.4722,0.76569,0.54312,1.72032,1.50134,0.01439,2.17805e-05,2.17805e-05,2.17805e-05
79,213.093,0.69793,0.77695,0.00752,0.76161,0.4722,0.76569,0.54312,1.72032,1.50134,0.01439,2.11444e-05,2.11444e-05,2.11444e-05
80,215.8,0.9346,0.83121,0.01138,0.76161,0.4722,0.76569,0.54312,1.72032,1.50134,0.01439,2.04848e-05,2.04848e-05,2.04848e-05
81,218.573,0.86971,0.90951,0.01483,0.77183,0.46392,0.75687,0.54238,1.70218,1.48598,0.01413,1.98016e-05,1.98016e-05,1.98016e-05
82,221.317,0.80006,0.53057,0.01276,0.77183,0.46392,0.75687,0.54238,1.70218,1.48598,0.01413,1.90949e-05,1.90949e-05,1.90949e-05
83,224.126,0.96139,1.87228,0.01264,0.77183,0.46392,0.75687,0.54238,1.70218,1.48598,0.01413,1.83646e-05,1.83646e-05,1.83646e-05
84,226.913,0.73204,0.95668,0.01134,0.94088,0.4655,0.70116,0.49404,1.71909,1.60702,0.01467,1.76107e-05,1.76107e-05,1.76107e-05
85,229.608,0.82401,1.36282,0.0092,0.94088,0.4655,0.70116,0.49404,1.71909,1.60702,0.01467,1.68333e-05,1.68333e-05,1.68333e-05
86,232.257,1.1472,1.96734,0.02216,0.94088,0.4655,0.70116,0.49404,1.71909,1.60702,0.01467,1.60323e-05,1.60323e-05,1.60323e-05
87,234.91,1.09635,1.36663,0.01342,0.94088,0.4655,0.70116,0.49404,1.71909,1.60702,0.01467,1.52077e-05,1.52077e-05,1.52077e-05
88,237.639,1.01961,1.26043,0.01485,0.67503,0.4828,0.67382,0.4601,1.6805,1.72575,0.01404,1.43596e-05,1.43596e-05,1.43596e-05
89,240.397,1.18832,1.62949,0.01681,0.67503,0.4828,0.67382,0.4601,1.6805,1.72575,0.01404,1.34879e-05,1.34879e-05,1.34879e-05
90,243.05,0.86509,1.04278,0.00911,0.67503,0.4828,0.67382,0.4601,1.6805,1.72575,0.01404,1.25927e-05,1.25927e-05,1.25927e-05
91,245.677,0.65214,0.48408,0.00927,0.67503,0.4828,0.67382,0.4601,1.6805,1.72575,0.01404,1.16739e-05,1.16739e-05,1.16739e-05
92,248.429,0.53564,0.52883,0.00588,0.59693,0.49976,0.67107,0.47553,1.72709,1.66972,0.01469,1.07315e-05,1.07315e-05,1.07315e-05
93,251.086,0.88836,0.90944,0.01672,0.59693,0.49976,0.67107,0.47553,1.72709,1.66972,0.01469,9.76562e-06,9.76562e-06,9.76562e-06
94,253.759,0.62532,0.50495,0.00627,0.59693,0.49976,0.67107,0.47553,1.72709,1.66972,0.01469,8.77613e-06,8.77613e-06,8.77613e-06
95,256.735,1.13539,0.92621,0.01908,0.59693,0.49976,0.67107,0.47553,1.72709,1.66972,0.01469,7.76308e-06,7.76308e-06,7.76308e-06
96,259.673,0.79766,0.52035,0.01189,0.5646,0.49852,0.65723,0.47686,1.85071,1.51327,0.01589,6.72648e-06,6.72648e-06,6.72648e-06
97,262.353,0.64404,0.40683,0.00707,0.5646,0.49852,0.65723,0.47686,1.85071,1.51327,0.01589,5.6663e-06,5.6663e-06,5.6663e-06
98,264.971,0.79146,0.61158,0.01448,0.5646,0.49852,0.65723,0.47686,1.85071,1.51327,0.01589,4.58257e-06,4.58257e-06,4.58257e-06
99,267.684,0.84897,0.58287,0.00989,0.5646,0.49852,0.65723,0.47686,1.85071,1.51327,0.01589,3.47528e-06,3.47528e-06,3.47528e-06
100,270.436,0.6845,0.60954,0.00666,0.56289,0.49965,0.68542,0.49067,1.8025,1.48171,0.01501,2.34442e-06,2.34442e-06,2.34442e-06
